"コード","銘柄名","市場","現在値","前日比(%)"
"3537","昭栄薬品","東S","1668","+8.0(+0.48%)"
"3538","ウイルプラスＨＬＤＧ","東S","951","+6.0(+0.63%)"
"3539","ＪＭ　ＨＬＤＧ","東P","1423","+37.0(+2.67%)"
"3542","ベガコーポレーション","東G","1313","+45.0(+3.55%)"
"3543","コメダＨＬＤＧ","東P","2978","+81.0(+2.80%)"
"3544","サツドラＨＬＤＧ","東S","1257","+0.0(+0.00%)"
"3547","ユニシアＨＬＤＧ","東S","1846","+62.0(+3.48%)"
"3548","バロックジャパンリミテッド","東P","746","+4.0(+0.54%)"
"3549","クスリのアオキＨＬＤＧ","東S","4199.0","+244.0(+6.17%)"
"3550","スタジオアタオ","東G","217","-1.0(-0.46%)"
"3551","ダイニック","東S","1385","+0.0(+0.00%)"
"3553","共和レザー","東S","881","-7.0(-0.79%)"
"3556","リネットジャパングループ","東G","790","-14.0(-1.74%)"
"3557","ユナイテッド＆コレクティブ","東G","550","+4.0(+0.73%)"
"3558","ジェイドグループ","東G","1629","+9.0(+0.56%)"
"3559","ピーバンドットコム","東S","415","+2.0(+0.48%)"
"3560","ほぼ日","東S","4180","-25.0(-0.59%)"
"3561","力の源ＨＬＤＧ","東P","1726","+41.0(+2.43%)"
"3562","Ｎｏ．１","東S","1597","-2.0(-0.13%)"
"3563","ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭ","東P","5846.0","+110.0(+1.92%)"
"3565","アセンテック","東S","440","+8.0(+1.85%)"
"3566","ユニフォームネクスト","東G","873","-5.0(-0.57%)"
"3569","セーレン","東P","3220","+10.0(+0.31%)"
"3571","ソトー","東S","713","-1.0(-0.14%)"
"3577","東海染工","東S","937","+2.0(+0.21%)"
"3580","小松マテーレ","東P","725","+4.0(+0.55%)"
"3583","オーベクス","東S","-","- (-%)"
"3591","ワコールＨＬＤＧ","東P","4567.0","+54.0(+1.20%)"
"3597","自重堂","東S","9070","+60.0(+0.67%)"
"3598","山喜","東S","163","+0.0(+0.00%)"
"3600","フジックス","東S","1708","+7.0(+0.41%)"
"3607","クラウディアＨＬＤＧ","東S","360","+3.0(+0.84%)"
"3608","ＴＳＩ　ＨＬＤＧ","東P","1278","+15.0(+1.19%)"
"3611","マツオカコーポレーション","東S","2460","-17.0(-0.69%)"
"3612","ワールド","東P","1654","+18.0(+1.10%)"
"3622","ネットイヤーグループ","東S","510","-8.0(-1.54%)"
"3623","ビリングシステム","東G","1012","-2.0(-0.20%)"
"3624","アクセルマーク","東G","66","+2.0(+3.13%)"
"3625","テックファームＨＬＤＧ","東G","593","+8.0(+1.37%)"
"3626","ＴＩＳＩ","東P","3939.0","+185.0(+4.93%)"
"3627","テクミラＨＬＤＧ","東S","266","-1.0(-0.37%)"
"3628","データホライゾン","東G","597","-15.0(-2.45%)"
"3632","グリーＨＬＤＧ","東P","401","+5.0(+1.26%)"
"3633","ＧＭＯペパボ","東S","1756","+45.0(+2.63%)"
"3634","ソケッツ","東S","575","+0.0(+0.00%)"
"3635","コーエーテクモＨＬＤＧ","東P","1649.0","+119.0(+7.78%)"
"3636","三菱総合研究所","東P","5030","+135.0(+2.76%)"
"3639","ボルテージ","東S","222","-6.0(-2.63%)"
"3640","電算","東S","2664","+118.0(+4.63%)"
"3641","パピレス","東S","968","+7.0(+0.73%)"
"3645","メディカルネット","東G","242","-1.0(-0.41%)"
"3646","駅探","東S","335","-1.0(-0.30%)"
"3647","アスリナ","東S","107","-4.0(-3.60%)"
"3648","ＡＧＳ","東S","1121","-14.0(-1.23%)"
"3649","ファインデックス","東P","865","+22.0(+2.61%)"
"3652","ディジタルメディアプロ","東G","2043","-230.0(-10.12%)"
"3653","モルフォ","東G","623","-17.0(-2.66%)"
"3656","ＫＬａｂ","東P","214","+1.0(+0.47%)"
"3657","ポールトゥウィンＨＬＤＧ","東P","340","-2.0(-0.58%)"
"3659","ネクソン","東P","2590.5","+102.5(+4.12%)"
"365A","伊澤タオル","東S","788","-5.0(-0.63%)"
"3660","アイスタイル","東P","440","+5.0(+1.15%)"
"3661","エムアップＨＬＤＧ","東P","805","+13.0(+1.64%)"
"3662","エイチームＨＬＤＧ","東P","997","+0.0(+0.00%)"
"3663","セルシス","東P","1952","+68.0(+3.61%)"
"3664","ＷＩＺＥ","東G","22","+1.0(+4.76%)"
"3665","エニグモ","東P","406","-8.0(-1.93%)"
"3667","ｅｎｉｓｈ","東S","26","-1.0(-3.70%)"
"3668","コロプラ","東P","400","+13.0(+3.36%)"
"366A","ウェルネス・コミュニケーション","東G","1018","+1.0(+0.10%)"
"3670","協立情報通信","東S","1770","+12.0(+0.68%)"
"3671","ソフトマックス","東S","324","-4.0(-1.22%)"
"3672","オルトプラス","東S","27","+0.0(+0.00%)"
"3673","ブロードリーフ","東P","456","+19.0(+4.35%)"
"3674","オークファン","東G","326","-3.0(-0.91%)"
"3675","クロス・マーケティンググループ","東S","602","+0.0(+0.00%)"
"3676","デジタルハーツＨＬＤＧ","東P","773","+26.0(+3.48%)"
"3678","メディアドゥ","東P","1323","+8.0(+0.61%)"
"3679","じげん","東P","428","+13.0(+3.13%)"
"367A","プリモグローバルＨＬＤＧ","東S","2669","+53.0(+2.03%)"
"3680","ホットリンク","東G","214","-2.0(-0.93%)"
"3682","エンカレッジ・テクノロジ","東S","602","+4.0(+0.67%)"
"3683","サイバーリンクス","東S","1060","-3.0(-0.28%)"
"3686","ディー・エル・イー","東S","60","-1.0(-1.64%)"
"3687","フィックスターズ","東P","1975","-98.0(-4.73%)"
"368A","北里","東P","1390","+6.0(+0.43%)"
"3690","イルグルム","東S","540","+5.0(+0.93%)"
"3691","デジタルプラス","東G","1422","-114.0(-7.42%)"
"3692","ＦＦＲＩセキュリティ","東G","4790","-100.0(-2.04%)"
"3694","オプティム","東P","399","+6.0(+1.53%)"
"3695","ＧＭＯプロダクトプラットフォー","東G","1458","+8.0(+0.55%)"
"3696","セレス","東P","2142","+22.0(+1.04%)"
"3697","ＳＨＩＦＴ","東P","950.0","+0.0(+0.00%)"
"3698","ＣＲＩ・ミドルウェア","東S","1181","+0.0(+0.00%)"
"369A","エータイ","東G","2239","+13.0(+0.58%)"
"3708","特種東海製紙","東P","2168","+31.0(+1.45%)"
"3710","ジョルダン","東S","620","+0.0(+0.00%)"
"3712","情報企画","東S","1065","+10.0(+0.95%)"
"3719","ＡＩストーム","東S","140","-9.0(-6.04%)"
"3723","日本ファルコム","東G","2632","+71.0(+2.77%)"
"3726","フォーシーズＨＤ","東S","370","+0.0(+0.00%)"
"3727","アプリックス","東G","136","-1.0(-0.73%)"
"372A","レント","東S","5580","+110.0(+2.01%)"
"3733","ソフトウェア・サービス","東S","11330","+400.0(+3.66%)"
"373A","リップス","東G","1489","-1.0(-0.07%)"
"3741","セック","東P","2853","-23.0(-0.80%)"
"3744","サイオス","東S","500","+1.0(+0.20%)"
"3747","インタートレード","東S","386","-11.0(-2.77%)"
"3750","ＡＤＲバイオメディカルＨＬＤＧ","東S","783","+5.0(+0.64%)"
"3753","フライトソリューションズ","東S","178","-1.0(-0.56%)"
"3758","アエリア","東S","244","+0.0(+0.00%)"
"3760","ケイブ","東S","767","-1.0(-0.13%)"
"3762","テクマトリックス","東P","2117","+87.0(+4.29%)"
"3763","プロシップ","東P","1847","+67.0(+3.76%)"
"3765","ガンホー・オンライン","東P","2529","+87.0(+3.56%)"
"3766","システムズ・デザイン","東S","1425","-3.0(-0.21%)"
"3768","リスクモンスター","東S","558","-7.0(-1.24%)"
"3769","ＧＭＯペイメントゲートウェイ","東P","10265.0","+410.0(+4.16%)"
"3771","システムリサーチ","東P","1871","+24.0(+1.30%)"
"3772","ウェルス・マネジメント","東S","1052","-3.0(-0.28%)"
"3773","アドバンスト・メディア","東G","1088","+26.0(+2.45%)"
"3774","インターネットイニシアティブ","東P","3611.0","+93.0(+2.64%)"
"3776","ブロードバンドタワー","東S","227","-3.0(-1.30%)"
"3777","環境フレンドリーＨＬＤＧ","東G","43","-2.0(-4.44%)"
"3778","さくらインターネット","東P","3170","+70.0(+2.26%)"
"3779","ジェイ・エスコムＨＬＤＧ","東S","127","-2.0(-1.55%)"
"3787","テクノマセマティカル","東S","261","-7.0(-2.61%)"
"3788","ＧＭＯグローバルサイン・ＨＬＤ","東P","2275","+98.0(+4.50%)"
"378A","ヒット","東G","1033","-22.0(-2.09%)"
"3791","ＩＧポート","東S","1036","+21.0(+2.07%)"
"3793","ドリコム","東G","446","+12.0(+2.76%)"
"3796","いい生活","東S","297","-1.0(-0.34%)"
"3798","ＵＬＳグループ","東S","582","+12.0(+2.11%)"
"3799","キーウェアソリューションズ","東S","1082","+11.0(+1.03%)"
"3800","ユニリタ","東S","1965","+5.0(+0.26%)"
"3802","エコミック","東S","492","+1.0(+0.20%)"
"3803","イメージ情報開発","東G","486","-14.0(-2.80%)"
"3804","システム　ディ","東S","449","-1.0(-0.22%)"
"3807","フィスコ","東G","83","-2.0(-2.35%)"
"3810","サイバーステップ　ＨＬＤＧ","東S","152","-1.0(-0.65%)"
"3815","メディア工房","東G","444","+1.0(+0.23%)"
"3816","大和コンピューター","東S","1150","+12.0(+1.05%)"
"3817","ＳＲＡ　ＨＬＤＧ","東P","4785","+95.0(+2.03%)"
"3823","ＴＨＥ　ＷＨＹ　ＨＯＷ　ＤＯ","東S","29","-3.0(-9.38%)"
"3825","リミックスポイント","東S","187","-4.0(-2.09%)"
"3826","システムインテグレータ","東S","451","+1.0(+0.22%)"
"3834","朝日ネット","東P","651","+10.0(+1.56%)"
"3835","ｅＢＡＳＥ","東P","433","+8.0(+1.88%)"
"3836","アバントグループ","東P","1328","+50.0(+3.91%)"
"3837","アドソル日進","東P","1534","+36.0(+2.40%)"
"3839","ＯＤＫソリューションズ","東S","638","-2.0(-0.31%)"
"3840","パス","東S","55","-2.0(-3.51%)"
"3841","ジーダット","東S","1211","+11.0(+0.92%)"
"3842","ネクストジェン","東S","990","-5.0(-0.50%)"
"3843","フリービット","東P","1581","+15.0(+0.96%)"
"3844","コムチュア","東P","1455","+39.0(+2.75%)"
"3845","アイフリークモバイル","東S","212","+0.0(+0.00%)"
"3848","データ・アプリケーション","東S","815","-15.0(-1.81%)"
"3850","エヌ・ティ・ティ・データ・イン","東S","3000","+31.0(+1.04%)"
"3851","日本一ソフトウェア","東S","1062","+92.0(+9.48%)"
"3853","アステリア","東P","1010","-22.0(-2.13%)"
"3854","アイル","東P","2355","+55.0(+2.39%)"
"3856","Ａｂａｌａｎｃｅ","東S","489","-2.0(-0.41%)"
"3858","ユビキタスＡＩ","東S","282","-10.0(-3.42%)"
"3861","王子ＨＬＤＧ","東P","896.5","+13.5(+1.53%)"
"3863","日本製紙","東P","1474","-31.0(-2.06%)"
"3864","三菱製紙","東P","1122","+31.0(+2.84%)"
"3865","北越コーポレーション","東P","947","+18.0(+1.94%)"
"386A","みのや","東S","1274","-2.0(-0.16%)"
"3877","中越パルプ工業","東P","2125","+3.0(+0.14%)"
"3878","巴川","東S","778","-16.0(-2.02%)"
"387A","フラー","東G","979","-41.0(-4.02%)"
"3880","大王製紙","東P","1018","+30.0(+3.04%)"
"3891","ニッポン高度紙工業","東S","5440","-610.0(-10.08%)"
"3892","岡山製紙","東S","1609","-11.0(-0.68%)"
"3895","ハビックス","東S","405","-1.0(-0.25%)"
"3896","阿波製紙","東S","361","-10.0(-2.70%)"
"3900","クラウドワークス","東G","692","+20.0(+2.98%)"
"3901","マークラインズ","東P","1397","+44.0(+3.25%)"
"3903","ｇｕｍｉ","東P","249","+7.0(+2.89%)"
"3904","カヤック","東G","405","-9.0(-2.17%)"
"3905","データセクション","東G","1930","-164.0(-7.83%)"
"3907","シリコンスタジオ","東S","1318","+300.0(+29.47%)"
"3908","コラボス","東S","345","+0.0(+0.00%)"
"3909","ショーケース","東S","204","+6.0(+3.03%)"
"3910","エムケイシステム","東S","274","-3.0(-1.08%)"
"3911","Ａｉｍｉｎｇ","東G","205","-5.0(-2.38%)"
"3912","モバイルファクトリー","東S","1057","+0.0(+0.00%)"
"3913","ＧｒｅｅｎＢｅｅ","東S","992","+9.0(+0.92%)"
"3914","ＪＩＧ―ＳＡＷ","東G","2469","+89.0(+3.74%)"
"3915","テラスカイ","東P","2025","+31.0(+1.55%)"
"3916","デジタル・インフォメーション","東P","971","+22.0(+2.32%)"
"3917","アイリッジ","東G","492","+4.0(+0.82%)"
"3918","ＰＣＩ　ＨＬＤＧ","東S","1207","-3.0(-0.25%)"
"3920","アイビーシー","東S","994","-4.0(-0.40%)"
"3921","ネオジャパン","東P","1709","+54.0(+3.26%)"
"3922","ＰＲ　ＴＩＭＥＳ","東P","2101","+1.0(+0.05%)"
"3923","ラクス","東P","1104.0","+44.0(+4.15%)"
"3925","ダブルスタンダード","東P","1285","+31.0(+2.47%)"
"3926","オープンドア","東S","383","-26.0(-6.36%)"
"3927","フーバーブレイン","東S","903","-31.0(-3.32%)"
"3928","マイネット","東S","231","+4.0(+1.76%)"
"3929","ソーシャルワイヤー","東G","242","-18.0(-6.92%)"
"3930","はてな","東G","1140","+32.0(+2.89%)"
"3931","バリューゴルフ","東G","1885","+7.0(+0.37%)"
"3932","アカツキ","東P","3020","+88.0(+3.00%)"
"3933","チエル","東S","484","+7.0(+1.47%)"
"3934","ベネフィットジャパン","東S","2161","-19.0(-0.87%)"
"3935","エディア","東S","709","+0.0(+0.00%)"
"3936","グローバルウェイ","東G","148","-6.0(-3.90%)"
"3937","Ｕｂｉｃｏｍ　ＨＬＤＧ","東S","1016","+15.0(+1.50%)"
"3939","カナミックネットワーク","東P","502","+23.0(+4.80%)"
"3940","ノムラシステムコーポレーション","東S","118","+0.0(+0.00%)"
"3941","レンゴー","東P","1534.5","+15.0(+0.99%)"
"3943","大石産業","東S","1276","+1.0(+0.08%)"
"3944","古林紙工","東S","2795","+144.0(+5.43%)"
"3945","スーパーバッグ","東S","2255","+11.0(+0.49%)"
"3946","トーモク","東P","4640","+100.0(+2.20%)"
"3947","ダイナパック","東S","2180","-20.0(-0.91%)"
"3948","光ビジネスフォーム","東S","1140","+0.0(+0.00%)"
"3950","ザ・パック","東P","1471","+14.0(+0.96%)"
"3951","朝日印刷","東S","884","-1.0(-0.11%)"
"3953","大村紙業","東S","780","-7.0(-0.89%)"
"3954","昭和パックス","東S","-","- (-%)"
"3955","イムラ","東S","841","+6.0(+0.72%)"
"3958","笹徳印刷","東S","549","+2.0(+0.37%)"
"3962","チェンジＨＬＤＧ","東P","960","+30.0(+3.23%)"
"3963","シンクロ・フード","東P","350","+13.0(+3.86%)"
"3964","オークネット","東P","1380","-15.0(-1.08%)"
"3965","キャピタル・アセット・プランニ","東S","856","-1.0(-0.12%)"
"3967","エルテス","東G","585","-11.0(-1.85%)"
"3968","セグエグループ","東P","603","+18.0(+3.08%)"
"3969","エイトレッド","東S","1386","+4.0(+0.29%)"
"3970","イノベーション","東S","780","-10.0(-1.27%)"
"3974","ＳＣＡＴ","東S","670","+12.0(+1.82%)"
"3976","シャノン","東G","580","-15.0(-2.52%)"
"3979","うるる","東G","399","-6.0(-1.48%)"
"3981","ビーグリー","東S","1234","+24.0(+1.98%)"
"3983","オロ","東P","2227","+42.0(+1.92%)"
"3984","ユーザーローカル","東P","1795","+4.0(+0.22%)"
"3985","テモナ","東S","179","-2.0(-1.10%)"
"3986","ビーブレイクシステムズ","東S","485","+1.0(+0.21%)"
"3987","エコモット","東G","625","-1.0(-0.16%)"
"3988","ＳＹＳ　ＨＬＤＧ","東S","549","-1.0(-0.18%)"
"3989","シェアリングテクノロジー","東G","1405","+60.0(+4.46%)"
"3991","ウォンテッドリー","東G","913","-3.0(-0.33%)"
"3992","ニーズウェル","東P","450","+1.0(+0.22%)"
"3993","ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇ","東P","2770","+7.0(+0.25%)"
"3994","マネーフォワード","東P","5950.0","+285.0(+5.03%)"
"3996","サインポスト","東S","197","+4.0(+2.07%)"
"3997","トレードワークス","東S","370","-13.0(-3.39%)"
"3998","すららネット","東G","311","+2.0(+0.65%)"
"4004","レゾナック・ＨＬＤＧ","東P","12245.0","-120.0(-0.97%)"
"4005","住友化学","東P","522.6","-7.2(-1.36%)"
"4008","住友精化","東P","1225","-5.0(-0.41%)"
"4011","ヘッドウォータース","東G","1870","-49.0(-2.55%)"
"4012","アクシス","東S","1746","+34.0(+1.99%)"
"4013","勤次郎","東G","702","+12.0(+1.74%)"
"4014","カラダノート","東G","542","+6.0(+1.12%)"
"4015","ペイクラウドＨＬＤＧ","東G","540","+14.0(+2.66%)"
"4016","ＭＩＴ　ＨＬＤＧ","東S","946","+5.0(+0.53%)"
"4017","クリーマ","東G","218","+4.0(+1.87%)"
"4019","スタメン","東G","625","+14.0(+2.29%)"
"4020","ビートレンド","東G","709","+20.0(+2.90%)"
"4021","日産化学","東P","7373.0","-46.0(-0.62%)"
"4022","ラサ工業","東P","1611","-108.0(-6.28%)"
"4023","クレハ","東P","4265","+10.0(+0.24%)"
"4025","多木化学","東P","4760","+80.0(+1.71%)"
"4026","神島化学工業","東S","1520","-17.0(-1.11%)"
"4027","テイカ","東P","2148","-92.0(-4.11%)"
"4028","石原産業","東P","2845","-53.0(-1.83%)"
"402A","アクセルスペースＨＬＤＧ","東G","422","-27.0(-6.01%)"
"4031","片倉コープアグリ","東S","1025","+0.0(+0.00%)"
"4040","南海化学","東S","3430","-55.0(-1.58%)"
"4041","日本曹達","東P","3855","+40.0(+1.05%)"
"4042","東ソー","東P","2713.5","-31.5(-1.15%)"
"4043","トクヤマ","東P","3911.0","-401.0(-9.30%)"
"4044","セントラル硝子","東P","4105","-45.0(-1.08%)"
"4045","東亞合成","東P","1795.5","+8.0(+0.45%)"
"4046","大阪ソーダ","東P","1692","-78.0(-4.41%)"
"4047","関東電化工業","東P","2420","-101.0(-4.01%)"
"4051","ＧＭＯ　フィナンシャルゲート","東P","6200","+110.0(+1.81%)"
"4052","フィーチャ","東G","280","-41.0(-12.77%)"
"4053","Ｓｕｎ　Ａｓｔｅｒｉｓｋ","東P","467","+11.0(+2.41%)"
"4054","日本情報クリエイト","東G","577","-4.0(-0.69%)"
"4055","ティアンドエスグループ","東G","1380","-58.0(-4.03%)"
"4056","ニューラルグループ","東G","207","+4.0(+1.97%)"
"4057","インターファクトリー","東G","347","-3.0(-0.86%)"
"4058","トヨクモ","東G","2387","+166.0(+7.47%)"
"4059","まぐまぐ","東S","409","-1.0(-0.24%)"
"4060","ｒａｋｕｍｏ","東G","1119","+7.0(+0.63%)"
"4061","デンカ","東P","3255.0","-147.0(-4.32%)"
"4062","イビデン","東P","13470.0","-1,385.0(-9.32%)"
"4063","信越化学工業","東P","5690.0","-182.0(-3.10%)"
"4064","日本カーバイド工業","東P","3110","-65.0(-2.05%)"
"4068","ベイシス","東G","1651","+2.0(+0.12%)"
"4069","ＢｌｕｅＭｅｍｅ","東G","653","-13.0(-1.95%)"
"4071","プラスアルファコンサルティング","東P","2358","+53.0(+2.30%)"
"4072","電算システムＨＬＤＧ","東P","2953","+47.0(+1.62%)"
"4073","ジィ・シィ企画","東G","447","-9.0(-1.97%)"
"4074","ラキール","東G","915","+10.0(+1.10%)"
"4075","ブレインズテクノロジー","東G","842","-20.0(-2.32%)"
"4076","シイエヌエス","東G","1801","-5.0(-0.28%)"
"4078","堺化学工業","東P","3780","-90.0(-2.33%)"
"407A","ＵＮＩＣＯＮ　ＨＬＤＧ","東S","877","+1.0(+0.11%)"
"4082","第一稀元素化学工業","東P","1677","-84.0(-4.77%)"
"4088","エア・ウォーター","東P","2610","-10.0(-0.38%)"
"4091","日本酸素ＨＤ","東P","5835.0","+10.0(+0.17%)"
"4092","日本化学工業","東P","5380","+330.0(+6.53%)"
"4093","東邦アセチレン","東S","418","-2.0(-0.48%)"
"4094","日本化学産業","東S","2115","+29.0(+1.39%)"
"4095","日本パーカライジング","東P","1673","+12.0(+0.72%)"
"4097","高圧ガス工業","東P","1083","-7.0(-0.64%)"
"4098","チタン工業","東S","999","-30.0(-2.92%)"
"4099","四国化成ＨＬＤＧ","東P","2267","-150.0(-6.21%)"
"409A","オリオンビール","東P","1251","+29.0(+2.37%)"
"4100","戸田工業","東S","1258","-64.0(-4.84%)"
"4102","丸尾カルシウム","東S","1437","-33.0(-2.24%)"
"4107","伊勢化学工業","東S","3445","-75.0(-2.13%)"
"4109","ステラ　ケミファ","東P","4980","-150.0(-2.92%)"
"410A","ＧＭＯ　コマース","東G","1124","+5.0(+0.45%)"
"4112","保土谷化学工業","東P","2011","-25.0(-1.23%)"
"4113","田岡化学工業","東S","772","-11.0(-1.40%)"
"4114","日本触媒","東P","2159.5","+9.5(+0.44%)"
"4116","大日精化工業","東P","1117","+16.0(+1.45%)"
"4118","カネカ","東P","5728.0","-10.0(-0.17%)"
"4119","日本ピグメントＨＬＤＧ","東S","5630","-100.0(-1.75%)"
"4120","スガイ化学工業","東S","3090","+40.0(+1.31%)"
"4124","大阪油化工業","東S","2691","-19.0(-0.70%)"
"4125","三和油化工業","東S","3125","-120.0(-3.70%)"
"414A","オーバーラップＨＬＤＧ","東G","846","+5.0(+0.59%)"
"4151","協和キリン","東P","2703.0","+47.0(+1.77%)"
"415A","ＧＭＯ　ＴＥＣＨ　ＨＬＤＧ","東G","4810","-40.0(-0.82%)"
"4165","プレイド","東G","582","+16.0(+2.83%)"
"4166","かっこ","東G","644","-12.0(-1.83%)"
"4167","ココペリ","東G","290","-7.0(-2.36%)"
"4168","ヤプリ","東G","797","+0.0(+0.00%)"
"4169","ＥＮＥＣＨＡＮＧＥ","東G","216","-2.0(-0.92%)"
"416A","富士ユナイトＨＬＤＧ","東S","1182","-8.0(-0.67%)"
"4170","Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ","東G","116","+0.0(+0.00%)"
"4171","グローバルインフォメーション","東S","1667","+0.0(+0.00%)"
"4172","Ｈｉクラテス","東S","-","- (-%)"
"4174","アピリッツ","東S","746","+13.0(+1.77%)"
"4175","ｃｏｌｙ","東G","2770","+126.0(+4.77%)"
"4176","ココナラ","東G","263","+1.0(+0.38%)"
"4177","Ｉ−ＰＬＵＧ","東G","1504","+2.0(+0.13%)"
"4178","Ｓｈａｒｉｎｇ　Ｉｎｎｏｖａｔ","東G","498","-3.0(-0.60%)"
"4179","ジーネクスト","東G","340","+0.0(+0.00%)"
"417A","ブルーゾーン　ＨＬＤＧ","東P","1852.0","+36.0(+1.98%)"
"4180","Ａｐｐｉｅｒ　Ｇｒｏｕｐ","東P","978","+68.0(+7.47%)"
"4182","三菱瓦斯化学","東P","3820.0","-183.0(-4.57%)"
"4183","三井化学","東P","2136.5","+7.5(+0.35%)"
"4186","東京応化工業","東P","8356.0","-633.0(-7.04%)"
"4187","大阪有機化学工業","東P","4250","-315.0(-6.90%)"
"4188","三菱ケミカルグループ","東P","1155.5","-9.5(-0.82%)"
"4189","ＫＨネオケム","東P","3050","+40.0(+1.33%)"
"4192","スパイダープラス","東G","277","+1.0(+0.36%)"
"4193","ファブリカＨＬＤＧ","東S","2356","+11.0(+0.47%)"
"4194","ビジョナル","東P","9296.0","+296.0(+3.29%)"
"4196","ネオマーケティング","東S","1837","+87.0(+4.97%)"
"4197","アスマーク","東S","2305","+2.0(+0.09%)"
"4198","テンダ","東S","487","-3.0(-0.61%)"
"4199","ワンダープラネット","東G","800","-23.0(-2.79%)"
"4202","ダイセル","東P","1445.0","-15.0(-1.03%)"
"4203","住友ベークライト","東P","6026.0","-271.0(-4.30%)"
"4204","積水化学工業","東P","2759.0","+44.0(+1.62%)"
"4205","日本ゼオン","東P","2254.0","+71.5(+3.28%)"
"4206","アイカ工業","東P","3786.0","+64.0(+1.72%)"
"4208","ＵＢＥ","東P","3185.0","-28.0(-0.87%)"
"4212","積水樹脂","東P","2656","+4.0(+0.15%)"
"4216","旭有機材","東P","5750","-190.0(-3.20%)"
"4218","ニチバン","東P","1974","+32.0(+1.65%)"
"421A","ムービン・ストラテジック・キャ","東G","3585","-100.0(-2.71%)"
"4220","リケンテクノス","東P","1787","-7.0(-0.39%)"
"4221","大倉工業","東P","5140","-30.0(-0.58%)"
"4222","児玉化学工業","東S","556","-13.0(-2.28%)"
"4224","ロンシール工業","東S","2144","-8.0(-0.37%)"
"4228","積水化成品工業","東P","497","-12.0(-2.36%)"
"4229","群栄化学工業","東P","4215","-210.0(-4.75%)"
"4231","タイガースポリマー","東S","998","+1.0(+0.10%)"
"4234","サンエー化研","東S","683","-14.0(-2.01%)"
"4235","ウルトラファブリックスＨＬＤＧ","東S","689","+1.0(+0.15%)"
"4237","フジプレアム","東S","325","-6.0(-1.81%)"
"4238","ミライアル","東S","1496","-86.0(-5.44%)"
"423A","ライオン事務器","東S","308","-1.0(-0.32%)"
"4240","クラスターテクノロジー","東S","302","-6.0(-1.95%)"
"4241","アテクト","東S","600","-30.0(-4.76%)"
"4242","タカギセイコー","東S","1846","-5.0(-0.27%)"
"4243","ニックス","東S","911","-3.0(-0.33%)"
"4245","ダイキアクシス","東S","683","+3.0(+0.44%)"
"4246","ダイキョーニシカワ","東P","1028","+10.0(+0.98%)"
"4247","ポバール興業","東S","1352","-47.0(-3.36%)"
"4248","竹本容器","東S","863","+0.0(+0.00%)"
"4249","森六","東P","2544","+34.0(+1.35%)"
"4251","恵和","東P","1210","+6.0(+0.50%)"
"4255","ＴＨＥＣＯＯ","東G","2429","+28.0(+1.17%)"
"4256","サインド","東G","990","-11.0(-1.10%)"
"4258","網屋","東G","4430","+100.0(+2.31%)"
"4259","エクサウィザーズ","東G","751","-37.0(-4.70%)"
"4260","ハイブリッドテクノロジーズ","東G","205","-15.0(-6.82%)"
"4261","アジアクエスト","東G","3040","-50.0(-1.62%)"
"4262","ニフティライフスタイル","東G","1370","+8.0(+0.59%)"
"4263","サスメド","東G","688","-13.0(-1.85%)"
"4264","セキュア","東G","1542","+0.0(+0.00%)"
"4265","Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ","東G","279","+0.0(+0.00%)"
"4270","ＢｅｅＸ","東G","1800","-3.0(-0.17%)"
"4272","日本化薬","東P","1931.0","-13.5(-0.69%)"
"4274","細谷火工","東S","1055","+8.0(+0.76%)"
"4275","カーリット","東P","2169","-93.0(-4.11%)"
"4284","ソルクシーズ","東S","433","-6.0(-1.37%)"
"4286","ＣＬＨＬＤＧ","東S","1158","+15.0(+1.31%)"
"4287","ジャストプランニング","東S","471","-2.0(-0.42%)"
"4288","アズジェント","東S","407","-2.0(-0.49%)"
"428A","サイプレス・ＨＬＤＧ","東S","1392","+22.0(+1.61%)"
"4290","プレステージ・インターナショナ","東P","732","+46.0(+6.71%)"
"4293","セプテーニＨＬＤＧ","東S","532","+22.0(+4.31%)"
"4299","ハイマックス","東S","1245","+27.0(+2.22%)"
"429A","テクセンドフォトマスク","東P","3545","-240.0(-6.34%)"
"4301","アミューズ","東P","2028","+81.0(+4.16%)"
"4307","野村総合研究所","東P","5493.0","+115.0(+2.14%)"
"4308","Ｊストリーム","東G","351","-2.0(-0.57%)"
"4310","ドリームインキュベータ","東P","2671","+30.0(+1.14%)"
"4316","ビーマップ","東G","92","-2.0(-2.13%)"
"4317","レイ","東S","491","-8.0(-1.60%)"
"4318","クイック","東P","798","+8.0(+1.01%)"
"431A","ユーソナー","東G","1975","+25.0(+1.28%)"
"4320","ＣＥ　ＨＬＤＧ","東S","1704","+14.0(+0.83%)"
"4323","日本システム技術","東P","1900","+38.0(+2.04%)"
"4324","電通グループ","東P","3874.0","+252.0(+6.96%)"
"4326","インテージＨＬＤＧ","東P","2080","+57.0(+2.82%)"
"4331","テイクアンドギヴ・ニーズ","東P","690","+12.0(+1.77%)"
"4334","ユークス","東S","375","-6.0(-1.57%)"
